,Name,Brand,Rating,BestSeller,AmazonChoice,Comments,Price,Stars
0,Amazon Ethernet Adapter for Amazon Fire TV Devices,Brand: Amazon,"64,803 ratings",0,1,1000+ answered questions,0,4.5 out of 5
1,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",Brand: Amazon,"501,262 ratings",0,1,1000+ answered questions,0,
2,Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,Visit the SanDisk Store,"67,853 ratings",0,1,1000+ answered questions,$15.30,
3,Made for Amazon Outlet Shelf for Amazon Echo Devices - Black,Visit the EchoGear Store,"13,987 ratings",0,0,125 answered questions,$14.99,
4,"Amazon Basics Dual-Port USB Car Charger Adapter for Apple and Android Devices, 4.8 Amp, 24W, Black and Red",Visit the Amazon Basics Store,"7,851 ratings",0,1,82 answered questions,0,4.6 out of 5
5,Echo Auto- Hands-free Alexa in your car with your phone,Brand: Amazon,"145,478 ratings",0,1,1000+ answered questions,0,4 out of 5
6,Echo Show 8 (1st Gen) Adjustable Stand - Black,Brand: Amazon,"45,395 ratings",0,1,240 answered questions,0,
7,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",Brand: Amazon,"117,007 ratings",0,1,1000+ answered questions,0,4.7 out of 5
8,"Stylus Pencil for Amazon Fire HD 10 Pen, EDIVIA Active Stylus Pen with 1.5mm Ultra Fine Metal Tip Pen Stylus for Amazon Fire HD 10 Drawing and Sketching Pencil,White",Brand: EDIVIA,82 ratings,0,1,0,$16.99,4.3 out of 5
9,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",Brand: Amazon,"918,514 ratings",0,1,16 answered questions,0,4.7 out of 5
10,"NOCO NUSB211NA 10W USB Power Adapter, 2.1A 5V Wall Charger and Compatible with NOCO, Apple, Samsung, Google, Amazon Devices",Visit the NOCO Store,"3,869 ratings",0,0,28 answered questions,$13.95,4.7 out of 5
11,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",Brand: Amazon,"117,007 ratings",0,1,1000+ answered questions,0,4.7 out of 5
12,"Amazfit Band 5 Activity Fitness Tracker with Alexa Built-in, 15-Day Battery Life, Blood Oxygen, Heart Rate, Sleep & Stress Monitoring, 5 ATM Water Resistant, Fitness Watch for Men Women Kids, Black",Visit the Amazfit Store,"21,158 ratings",0,0,1000+ answered questions,$29.88,4.1 out of 5
13,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",Brand: Amazon,"223,485 ratings",0,1,1000+ answered questions,0,
14,"Fire 7 tablet, 7"" display, 16 GB, (2019 release), Black",Brand: Amazon,"238,629 ratings",0,1,1000+ answered questions,0,
