Name,Brand,Rating,BestSeller,AmazonChoice,Comments,Price,Stars
Amazon Ethernet Adapter for Amazon Fire TV Devices, Amazon,64803,0,1,1000,0,4.5
"Amazon Basics Dual-Port USB Car Charger Adapter for Apple and Android Devices, 4.8 Amp, 24W, Black and Red",Amazon Basics,7851,0,1,82,0,4.6
Echo Auto- Hands-free Alexa in your car with your phone, Amazon,145478,0,1,1000,0,4
"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal", Amazon,117007,0,1,1000,0,4.7
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal", Amazon,918514,0,1,16,0,4.7
"NOCO NUSB211NA 10W USB Power Adapter, 2.1A 5V Wall Charger and Compatible with NOCO, Apple, Samsung, Google, Amazon Devices",NOCO,3869,0,0,28,13.95,4.7
"Amazfit Band 5 Activity Fitness Tracker with Alexa Built-in, 15-Day Battery Life, Blood Oxygen, Heart Rate, Sleep & Stress Monitoring, 5 ATM Water Resistant, Fitness Watch for Men Women Kids, Black",Amazfit,21158,0,0,1000,29.88,4.1
"Tile Mate (2020) 1-pack - Bluetooth Tracker, Keys Finder and Item Locator for Keys, Bags and More; Water Resistant with 1 Year Replaceable Battery",Tile,27860,0,1,281,0,4.6
"Amazon Basics Universal Travel Case Organizer for Small Electronics and Accessories, Black",AmazonBasics,16242,0,1,277,14.44,4.6
"Amazon Glow with Tangram Bits | Learn, Play, Read, Create, Together | 19"" Projected + 8"" HD Touchscreens | Kids 3-9",Amazon,215,0,1,31,329.98,4.4
"Echo Show 5 (2nd Gen, 2021 release) - Deep Sea Blue bundle with Blink Mini", Amazon,928,0,1,21,114.98,4.7
"TACKFORM Universal Tablet Holder Compatible with Stationary Bicycle, Treadmill, Elliptical, Spin Bike, Microphone Stand, and Indoor Exercise Equipment - Compatible All Tablets Including iPad",Tackform,1817,0,0,73,29.9,4.4
"13-Inch Wide Platform Adjustable TV Top Shelf, Screen Top Shelf Mount, Monitor Top of TV Shelf Mounting Bracket for Streaming Devices, Cable Box, Router and Home Decor TV Top Storage Bracket-Black", tiebutie Hztprm,1009,0,0,3,12.99,4.2
"Garmin inReach Mini 2, Lightweight and Compact Satellite Communicator, Hiking Handheld, Orange & Backpack Tether Accessory for Garmin Devices",Garmin,87,0,0,17,0,4.5
Echo Dot (2nd Generation) - Smart speaker with Alexa - Black, Amazon,231691,0,0,1000,0,4.5
EDO Tech AC Adapter USB Wall Charger for Garmin Drive 51 52 61lm DriveTrack 71 DriveSmart 61 55 56 65 LMT-s 70lmt DriveAssist 51lmt-s DriveLuxe Dezl 570 LMT 580lmt-s GPS Navigator (6.5 Ft Long Cable), EDO Tech Supply,293,0,1,18,13.9,4.7
"KOOL-U Stylus Pens for Kids, Hexagon Shaped Like a Real Pencil, Compatible with All Touch Screen Devices - Apple IPAD, iPhone, Samsung Galaxy Tab, Amazon Fire - 2 Pack", Kool-U,333,0,1,7,15.99,4.3
"Mouse Mover Device Kissyee, Mouse Jiggler Undetectable Automatic with ON/Off Switch and USB Port Driver-Free, Mouse Shaker Simulates Mouse Movement and Prevents Computer Laptop Inactive/Lockdown", KissYee,38,0,0,4,29.99,4
"3 in 1 Magnetic Wireless Charger, Aluminum Alloy 15W Fast Wireless Charging Station for iPhone 13/12,Pro,Pro Max,Mini, MagSafe Charger Stand Dock for Apple AirPods 3/2/Pro, Apple Watch 7/SE/6/5/4/3/2",Acdoob,84,0,0,15,39.97,4.3
Echo Dot (4th Gen) with Clock | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit, Amazon,5527,0,0,19,0,4.8
"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",Blink Home Security,190222,0,1,773,0,4.4
"Amazon Basics Adjustable Tablet Holder Stand - Compatible with Apple iPad, Samsung Galaxy and Kindle Fire Tablets",AmazonBasics,26092,0,1,353,10.19,4.6
"Fire TV Cube, Hands-free streaming device with Alexa, 4K Ultra HD, includes Alexa Voice Remote", Amazon,28490,0,0,1000,0,4.6
Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal, Amazon,1229,0,1,881,0,4.5
"Macally Car Headrest Tablet Holder, Adjustable iPad Car Mount for Kids in Backseat, Compatible with Devices Such as iPad Pro Air Mini, Galaxy Tabs, And 7"" to 10"" Tablets and Cell Phones - Black",Macally,196826,0,0,68,0,4.4
"All-new Echo Dot (4th Gen) Smart Speaker with clock - Glacier White with All New, Made for Amazon, featuring The Mandalorian Baby GroguTM-inspired Stand for Amazon Echo Dot (4th Gen)", Amazon,6512,0,1,1000,74.94,4.8
"Charger [UL Listed] Compatible for Amazon Kindle Fire HD 10 9th Generation 2021 Release, Fire HDX 6"" 7"" 8.9"" 9.7"", Fire 7 HD 8 10 Tablet and Phone with 5Ft Micro-USB & USB C 2 in 1 Cable",KABCON,2248,0,0,31,12.99,4.4
"Outlet Wall Mount for Blink Sync Module 2,Simple Mount Bracket Holder for All-New Blink Outdoor and All-New Blink Indoor Home Security Camera with Easy Mount Short Cable（White,1pack）", HOLACA,504,0,0,12,8.99,4.8
"5 Pack 32GB Flash Drive, USB 2.0 Swivel Thumb Drives Bulk Memory Stick Jump Drive Pen Drive Zip Drive for Data Storage,Black/Blue/Orange/Green/Purple (32G, 5Pcs Mixed Color)",hrongshk,142,0,1,7,19.99,4.6
"VODESON Key Finder, Wireless RF Item Locator,1 RF Transmitter and 4 Receivers Keychain Key RingsFinder, Included Mini Stickers(New Upgrade Generation,Long Lasting Batteries),Pet & Wallet Tracker",Vodeson,45553,0,0,3,18.99,4.3
Ring Chime Pro,Ring,2105,0,1,724,0,4.6
"2 Pack OTG Cable Replacement for Fire Stick 4K, Compatible Samsung Galaxy, Amazon Fire TV, Compatible with LG HTC Android Phone Tablet Micro USB Host with Micro USB Power",Accessonico,46855,0,1,29,5.97,4.4
"Dekodots Smart Speaker Table Stand (LLama) - Decorative Holder for Amazon Echo Dot or Google Home Mini - Portable Design, No Sound or Microphone Interference - Durable Poly-Resin",Dekodots,4101,0,0,4,19.99,4.7
Ooma Telo Free Home Phone Service. Works with Amazon Echo and Smart Devices (Renewed),Amazon Renewed,44,0,0,186,49.99,4.4
"USB-C-Wall-Charger, Fast-Charger for iPhone-13, 12, KRX Upgraded Dual Ports Compact Fast Charger Adapter, Portable Travel Home USB Plug Cube with PD 20W and QC 3.0 for Android Phones, Tablet, Laptop",KRX,269,0,0,10,9.99,4.4
"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite - Wifi, Ad-supported, Amazon Fabric Cover, and Power Adapter", Amazon,10313,0,1,9,169.97,4.8
"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Fabric Cover, and Wireless charging dock", Amazon,103381,0,1,18,229.97,4.7
"Garmin DriveSmart 65 with Amazon Alexa, Built-In Voice-Controlled GPS Navigator with 6.95” High-Res Display",Garmin,2920,0,0,1000,229.99,4.5
Ring Video Doorbell (Satin Nickel) bundle with Echo Show 5 (2nd Gen),Ring,2106,0,1,1000,179.98,4.7
"Amazon Basics 4-Port USB Car Charger for Apple & Android Devices, 9.6A/48W, Black",Amazon Basics,28,0,1,16,0,4.7
"QFUP USB Power Adapter for Fire TV Stick, Fire Stick TV Replacement Power Cord USB Power Cable Power Your Fire Stick Directly Form Your TV'S USB Port （Eliminates The AC Outlet and Power Cord）",QFUP,1785,0,0,6,16.99,4.3
"Kindle Oasis Essentials Bundle including Kindle Oasis (Graphite, Ad-Supported), Amazon Fabric Cover, and Power Adapter", Amazon,10693,0,0,118,309.97,4.7
