Name,Brand,Rating,BestSeller,AmazonChoice,Comments,Price,Stars
Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,SanDisk,67912.0,0,1,1000.0,15.3,4.6
Made for Amazon Outlet Shelf for Amazon Echo Devices - Black,EchoGear,13989.0,0,0,125.0,14.99,4.6
"NOCO NUSB211NA 10W USB Power Adapter, 2.1A 5V Wall Charger and Compatible with NOCO, Apple, Samsung, Google, Amazon Devices",NOCO,3874.0,0,0,28.0,13.95,4.7
"Amazon Basics Universal Travel Case Organizer for Small Electronics and Accessories, Black",AmazonBasics,16259.0,0,1,277.0,14.44,4.6
"Amazon Basics Hard Travel Carrying Case for 5 Inch GPS, Black",Amazon Basics,12334.0,0,1,106.0,10.85,4.6
"Car Headrest Mount/Tablet Holder Car Backseat Seat Mount/Tablet Headrest Holder Universal 360° Rotating Adjustable for All 6""-10.5"" Tablet iPad iPad Air iPad Mini,Samsung Galaxy", Klsniur,4920.0,0,1,38.0,17.99,4.5
"GGMM D3 Battery Base for Dot 3rd Gen, Make Speaker Portable, No Sound or Microphone Interference, Black (Not Include Speaker)",GGMM,3823.0,0,1,25.0,31.99,4.4
"Amazon Glow with Tangram Bits | Learn, Play, Read, Create, Together | 19"" Projected + 8"" HD Touchscreens | Kids 3-9",Amazon,217.0,0,1,31.0,329.98,4.4
"Echo Show 5 (2nd Gen, 2021 release) - Deep Sea Blue bundle with Blink Mini", Amazon,931.0,0,1,21.0,114.98,4.7
"Charging Dock Stations - 4-in-1 Wireless Rotating Plug Charging Pad, Charging Pad for Multiple Devices Apple Watch, Fast iPhone Charger, Airpods, Samsung Galaxy S20, and Qi-Enabled Devices - White",Charging Dock Stations,430.0,0,0,4.0,29.95,3.8
"Car Tablet Holder/Car Headrest Mount Holder for Kids in Back Seats, 360° Rotating Adjustable Universal Tablet Holder, Compatible with 7-10.5"" Tablet/iPad/iPad Mini/Nintendo Switch", Modelandusbb,314.0,0,0,7.0,17.99,4.5
"2 Pack Headrest Tablet Holder, iPad Holder for Car Back Seat, Car Holder Mount for Tablet, iPhone, Fire HD, Switch and All 4.7""-12.9"" Devices, Road Trip Essential for Kids, 360° Rotatable Tablet Mount", Abemala,85.0,0,0,16.0,15.99,4.3
"Pezin & Hulin Bamboo Charging Stations for Multiple Devices, Upgrade Desk Docking Station Organizer for Cell Phones, Tablet, Smart Watch & Earpods Stand (Includes 5 Cables BUT NO Power Supply Charger)",Pezin & Hulin,3271.0,0,0,90.0,35.99,4.3
"TACKFORM Universal Tablet Holder Compatible with Stationary Bicycle, Treadmill, Elliptical, Spin Bike, Microphone Stand, and Indoor Exercise Equipment - Compatible All Tablets Including iPad",Tackform,1818.0,0,0,73.0,29.9,4.4
"13-Inch Wide Platform Adjustable TV Top Shelf, Screen Top Shelf Mount, Monitor Top of TV Shelf Mounting Bracket for Streaming Devices, Cable Box, Router and Home Decor TV Top Storage Bracket-Black", tiebutie Hztprm,1009.0,0,0,3.0,12.99,4.2
"Amazon Smart Air Quality Monitor with Echo Show 5 (2nd Gen, 2021 release) - Glacier White", Amazon,893.0,0,0,219.0,89.99,4
EDO Tech AC Adapter USB Wall Charger for Garmin Drive 51 52 61lm DriveTrack 71 DriveSmart 61 55 56 65 LMT-s 70lmt DriveAssist 51lmt-s DriveLuxe Dezl 570 LMT 580lmt-s GPS Navigator (6.5 Ft Long Cable), EDO Tech Supply,293.0,0,1,18.0,13.9,4.7
"KOOL-U Stylus Pens for Kids, Hexagon Shaped Like a Real Pencil, Compatible with All Touch Screen Devices - Apple IPAD, iPhone, Samsung Galaxy Tab, Amazon Fire - 2 Pack", Kool-U,333.0,0,1,7.0,15.99,4.3
"Mouse Mover Device Kissyee, Mouse Jiggler Undetectable Automatic with ON/Off Switch and USB Port Driver-Free, Mouse Shaker Simulates Mouse Movement and Prevents Computer Laptop Inactive/Lockdown", KissYee,38.0,0,0,4.0,29.99,4
"3 in 1 Magnetic Wireless Charger, Aluminum Alloy 15W Fast Wireless Charging Station for iPhone 13/12,Pro,Pro Max,Mini, MagSafe Charger Stand Dock for Apple AirPods 3/2/Pro, Apple Watch 7/SE/6/5/4/3/2",Acdoob,85.0,0,0,15.0,39.97,4.3
"Fiber HDMI Cable 30ft 4K 60Hz, FURUI HDMI 2.0b Fiber Optic Cable Nylon Braided HDR10, ARC, HDCP2.2, 3D, 18Gbps Fiber Optic HDMI Cable Subsampling 4:4:4/4:2:2/4:2:0 Slim and Flexible -10M",FURUI,238.0,0,0,123.0,74.49,4.3
"Travel Power Strip, NTONPOWER 3 Outlets 3 USB Portable Desktop Charging Station Short Extension Cord 15 inches for Office, Home, Hotels, Cruise Ship, Nightstand, White",NTONPOWER,3204.0,0,1,58.0,19.99,4.6
Fire TV Stick Lite Essentials Bundle with USB Power Cable, Amazon,9475.0,0,0,215.0,39.98,4.7
"Ethernet Adapter Replacement for TV Stick 4K/Max/Lite/Cube, Google Chromecast, Tivo Stream 4K - Micro USB OTG Cable HUB with Power",Smays,2459.0,0,1,126.0,12.99,4.3
"Amazon Basics Adjustable Tablet Holder Stand - Compatible with Apple iPad, Samsung Galaxy and Kindle Fire Tablets",AmazonBasics,26136.0,0,1,353.0,10.19,4.6
"Loncaster Car Phone Holder, Car Phone Mount Silicone Car Pad Mat for Various Dashboards, Slip Free Desk Phone Stand Compatible with iPhone, Samsung, Android Smartphones, GPS Devices and More, Black",Loncaster,30062.0,0,1,224.0,11.88,4.2
"USB Wall Charger, Nexwell 30W 6-Port Desktop Charger USB Charging Station with Smart Identification Technology for iPhone, iPad, Android and Virtually All Other USB Enabled Devices",Nexwell,1776.0,0,1,33.0,16.99,4.5
"USB C Female to USB Male Adapter 2 Pack,Type A Charger Cable Power Converter for Apple iWatch Watch Series 7 SE,iPhone 11 12 13 Pro Max Mini,AirPods iPad Air 4 5,Samsung Galaxy Note 10 20 S20 S21 S22",Basesailor,60718.0,0,1,554.0,9.99,4.6
