,Name,Brand,Rating,BestSeller,AmazonChoice,Comments,Price,Stars
0,Hussell Magnetic Phone Mount for Car - Dashboard Air Vent Magnet Holder for Cell Phone w/ 360-Degree Rotation Compatible with iPhone & Android Devices,Visit the HUSSELL Store,"9,822 ratings",0,1,0,$9.99,4.3 out of 5
1,"Metal Cell Phone Ring Holder for Hand, Zinc Alloy Phone Back Ring Grip for Finger or Case (Black Flower)",Visit the SUNURS Store,2 ratings,0,0,0,$7.98,5 out of 5
2,"Obsidian Glossy VICSEED Phone Mount for Car [Long-Lasting Strong Suction] Car Phone Holder Mount, Thick Case Friendly Big Cell Phone Holder Car Dashboard Windshield Air Vent Car Cradle for All Mobiles",Visit the VICSEED Store,16 ratings,0,0,9 answered questions,$29.98,4.8 out of 5
3,Hurley Women's Ceta Lace Up Casual Shoes,Visit the Hurley Store,9 ratings,0,0,0,$29.99,How confident are you in finding a size that will fit you well?
4,"TUZAZO 500 Pieces 10 mm Square Pyramid Studs for Clothing Bag Leather Shoes Punk Rock Jewelry Craft, 4 Prong Metal Nailhead Studs Spikes Accessories with Awl (Silver)",Brand: TUZAZO,243 ratings,0,1,6 answered questions,$9.99,4.6 out of 5
5,Anna by Anuschka Women's Organizer Wallet on a String,Visit the Anna by Anuschka Store,91 ratings,0,0,10 answered questions,$114.12,How confident are you in finding a size that will fit you well?
6,"sscikeas Belt Scarf Tie Rack Holder ,Closet Organizer Holder for Women's Handbags,Shoes and Clothing,Jewelry ,4 Packs 360 Degree Rotating 4 Hooks",Brand: sscikeas,14 ratings,0,0,0,$10.99,4.4 out of 5
7,"OIIKI 440PCS 8mm Silver ABS Bullet Spike Cone Studs, Rivets Cone Spike Studs Beads, Flat Back Punk Spikes DIY Crafts Studs Glue on Decoration for Clothing Leather Clothes Belt Bag Shoes Jewelry Trims",Brand: OIIKI,37 ratings,0,0,0,$10.59,4.3 out of 5
8,Anna by Anuschka Hand Painted Leather - Bi-Fold Organizer Wallet,Visit the Anna by Anuschka Store,427 ratings,0,0,11 answered questions,$101.52,How confident are you in finding a size that will fit you well?
9,400 Pieces Acrylic Punk Bullet Rivets Spike Studs Beads for Crafts Clothing crocs Belt Bag Shoes Jewelry DIY Decorations(10mm),Visit the CooBigo Store,13 ratings,0,0,0,$11.99,0
10,"Consignment, Thrift & Vintage Shopping In Palm Beach County Plus Broward & Miami: The 150 Best Consignment, Thrift, & Vintage Shops for Home Décor, Furnishings, Antiques, Clothing, Jewelry, Handbags",0,449 ratings,0,0,0,0,4.1 out of 5
11,LOSLANDIFEN Girls Princess Dress up Shoes Set and Fashion Jewelry Accessories Little Girl Role Play Shoes Collection Set for Toddlers Little Girls Ages 3-10 Years Old,Brand: LOSLANDIFEN,"2,965 ratings",0,1,3 answered questions,$23.91,How confident are you in finding a size that will fit you well?
12,Betsey Johnson Woven Mixed Multi-Colored Bead Flower Heart Illusion Necklace,Visit the Betsey Johnson Store,"1,658 ratings",0,1,22 answered questions,$48.00,4.5 out of 5
13,Celestial Moon & Star Drop Earrings,Visit the Betsey Johnson Store,"72,545 ratings",0,0,6 answered questions,$32.98,4.5 out of 5
14,adidas Women's Cloudfoam Pure Running Shoe,Visit the adidas Store,30 ratings,0,0,392 answered questions,$29.95,How confident are you in finding a size that will fit you well?
15,Jovono Women's Headband Head Chain with Beaded and Rhinestone for Women and Girls,Brand: Jovono,2 ratings,0,0,0,$7.66,3.4 out of 5
16,4th Of July Fighter Jet Airplane Red White Blue In The Sky T-Shirt,Brand: FALLEN REVOL,3 ratings,0,0,0,$16.95,How confident are you in finding a size that will fit you well?
17,"300 Sets Silver Stainless Steel Leather Rivets Double Cap Rivet Tubular Metal Studs Repairs Decoration Craft Accessories for Leather Craft Clothes Shoes Bags Belts (8mm, Silver)",Brand: YiChuangXin,"10,221 ratings",1,0,0,$11.99,
18,STQ Women's Athletic Walking Shoes Lightweight Mesh Tennis Sport Sneakers,Visit the STQ Store,"2,127 ratings",0,1,136 answered questions,$38.89,How confident are you in finding a size that will fit you well?
19,Betsey Johnson Rose Dangle Earring,Visit the Betsey Johnson Store,"1,713 ratings",0,1,13 answered questions,$45.00,4.4 out of 5
20,The Peanutshell Newborn Layette Gift Set for Baby Girls | 23 Piece Newborn Girl Clothes & Accessories Set | Fits Newborn to 3 Months | Floral,Visit the The Peanutshell Store,672 ratings,0,1,5 answered questions,$59.99,How confident are you in finding a size that will fit you well?
21,"Meland Princess Dress Up - Little Girls Princess Toys with 3 Color Skirts, 3 Pairs of Heel Shoes, 3 Crown Tiaras, Princess Accessories for Little Girls Toddlers for Birthday Christmas Party Favor",Visit the Meland Store,76 ratings,0,0,5 answered questions,$36.99,4.6 out of 5
22,"Meland Princess Dress Up Shoes - Dress Up Clothes for Little Girls - Kids Dress Up & Pretend Play with 4 Pairs Princess Shoes, Tiaras, Wand, Jewelry - Birthday Christmas Gift for Girls 3,4,5,6 Years",Visit the Meland Store,"4,605 ratings",0,0,0,$24.99,How confident are you in finding a size that will fit you well?
23,Artio Tassel Headbands Jewelry Wedding Headpiece Accessories for Women and Girls HB-511,Visit the Artio Store,"88,662 ratings",0,0,0,$14.66,4.3 out of 5
24,JoJo Siwa Girls 2 Pack Knee High Socks,Brand: JoJo Siwa,1 rating,0,0,24 answered questions,$7.67,How confident are you in finding a size that will fit you well?
25,Crocs Unisex-Adult Classic Clog,0,"3,514 ratings",0,0,211 answered questions,$28.55,How confident are you in finding a size that will fit you well?
26,"1 Yard Rhinestone Chain, AB Crystal Rhinestone Applique Beaded Chain Patch Sewing Trim Fringe Embellishment for Clothing Shoes Jewelry Accessories(Golden Champagne)",Visit the Hztyyier Store,127 ratings,0,0,0,$13.89,5 out of 5
27,The Nightmare Before Christmas Womens Multi Pack Socks (Teen/Adult),Brand: Disney,423 ratings,0,1,0,$16.99,How confident are you in finding a size that will fit you well?
28,"B7000 Glue Clear for Rhinestones, Cridoz Jewelry Glue Crafts Adhesive Fabric Glue with Precision Tips Dotting Stylus and Tweezers for Nail Art, Glasses, Metal and Stone(2pcs 0.9 fl oz)",Visit the cridoz Store,52 ratings,0,1,0,$8.99,4.4 out of 5
29,Harry Potter Designs Juniors/Womens 5 Pack Ankle Socks Size 4-10,Brand: Harry Potter,"31,642 ratings",0,0,0,$15.99,How confident are you in finding a size that will fit you well?
30,"240 Pieces Large Sew on Rhinestones Clear Sew on Glass Crystal Gems Diamond Stone Metal Back Prong Setting Crafts Mix Shapes Claw Rhinestones for Jewelry, Clothes, Shoes, Costume (Clear White)",Brand: Dilunave,"4,286 ratings",0,0,0,$10.99,4.2 out of 5
31,Wonesion Womens Walking Running Shoes Athletic Blade Non Slip Tennis Fashion Sneakers,Visit the Wonesion Store,152 ratings,0,0,325 answered questions,$45.99,How confident are you in finding a size that will fit you well?
32,TSIODFO Women's Sneakers Athletic Sport Running Tennis Walking Shoes,Visit the TSIODFO Store,48 ratings,0,0,53 answered questions,$39.01,How confident are you in finding a size that will fit you well?
33,Anna by Anuschka Satchel Handbag | Genuine Leather,Visit the Anna by Anuschka Store,"1,623 ratings",0,0,19 answered questions,$176.34,How confident are you in finding a size that will fit you well?
34,Anna by Anuschka Women's Genuine Leather Medium Crossbody | Hand Painted Original Artwork,Visit the Anna by Anuschka Store,"6,811 ratings",0,0,4 answered questions,$160.00,How confident are you in finding a size that will fit you well?
35,Disney Princess Girls 6 pack Socks Set,Brand: Disney,655 ratings,0,0,9 answered questions,$10.98,How confident are you in finding a size that will fit you well?
36,Reebok Women's Princess Sneaker,Visit the Reebok Store,43 ratings,0,0,83 answered questions,$36.95,How confident are you in finding a size that will fit you well?
37,70s Disco Set Rimless Diamond Cutting Sunglasses Wire Metal Coil Bracelets Layered Choker Necklace Triple Swirl Disco Earrings,Visit the Hicarer Store,964 ratings,0,1,0,$24.99,How confident are you in finding a size that will fit you well?
38,"FoxPrint My First Princess Dress Up Clothes for Little Girls with Elegant Shoes and Jewelry Boutique with 2 Jeweled Tiaras, Necklace, and Earrings, Pretend Play for Toddlers Ages 3+",Visit the FoxPrint Store,"1,412 ratings",0,0,0,$15.99,4.4 out of 5
39,Betsey Johnson Pave Skull Dangle Earrings,Visit the Betsey Johnson Store,1 rating,0,0,0,$35.00,4.8 out of 5
40,HARLEY-DAVIDSON FOOTWEAR Women's Zia Vulcanized Shoe,Visit the HARLEY-DAVIDSON FOOTWEAR Store,159 ratings,0,0,6 answered questions,$59.69,How confident are you in finding a size that will fit you well?
41,4th of July USA Flag Patriotic Party Accessories Include Independence Day American Flag Sun Visor Sunglasses Earrings Patriotic Bead Necklaces for USA Patriotic Party Favors Supplies Decor,Brand: Jiuguva,336 ratings,0,0,0,$16.49,How confident are you in finding a size that will fit you well?
42,Womens Disney Villains Maleficent It's Not Me It's You V-Neck T-Shirt,Visit the Disney Store,630 ratings,0,0,0,$23.50,How confident are you in finding a size that will fit you well?
43,"B-7000 Glue Clear for Rhinestone Crafts, Jewelry and Bead Adhesive B7000 Semi Fluid High Viscosity Glues for Clothes Shoes Fabric Cell Phones Screen Repair Metal Stone Nail Art Glass (4x15 ml/0.5 oz)",Visit the Cruzix Store,80 ratings,0,1,0,$6.79,4.4 out of 5
44,Betsey Johnson Rose Mismatch Drop Earrings,Visit the Betsey Johnson Store,53 ratings,0,0,4 answered questions,$34.65,4.7 out of 5
45,"100Pcs Crystal Pearl Buttons, Round Flatback Rhinestone Beads Buttons with Diamond, DIY Craft Sewing Fasteners Accessories for Jewelry Making, Clothes, Clothing, Bags, Shoes, Wedding Dress 10mm",Brand: YuYww,1 rating,0,0,0,$9.99,4.4 out of 5
46,9 PCS Grunge Necklace Set Goth Cross Saturn Thorns Gothic Angel Heart Wing Chain Choker Necklace for Women Teen Girls,Visit the BENBIYO Store,472 ratings,0,1,0,$14.98,How confident are you in finding a size that will fit you well?
47,BELICEY 2120Pcs Yellow Nail Art Rhinestones Kit Flatback Rhinestones Crystal for Nail Design Multi Shapes Size Rhinestones Nail Art Gems Diamonds Charms for Nail DIY Crafts Clothings Shoes Jewelry,Brand: BELICEY,"1,303 ratings",0,0,0,$11.99,5 out of 5
48,"Teuevayl Girls Princess Dress Up Shoes and Jewelry Boutique, Princess Role Play Shoes Collection Set with 4 Pairs of Shoes & Princess Jewelry Accessories for Little Girl Aged 3,4,5,6 Years Old",Visit the Teuevayl Store,"172,824 ratings",0,1,6 answered questions,$25.99,How confident are you in finding a size that will fit you well?
49,"Hang Tag String Black 7"" 1000Pcs Nylon Snap Lock Pin Loop Fastener Hook Ties Easy and Fast to Attach by Renashed",Brand: Renashed,"1,588 ratings",0,0,8 answered questions,$8.59,4.8 out of 5
50,"NETGEAR Wi-Fi Range Extender EX3700 - Coverage Up to 1000 Sq Ft and 15 Devices with AC750 Dual Band Wireless Signal Booster & Repeater (Up to 750Mbps Speed), and Compact Wall Plug Design",Visit the NETGEAR Store,"6,327 ratings",0,0,1000+ answered questions,0,3.9 out of 5
51,Skeleteen Tinted Round Hippie Glasses – Pink Purple And Blue 60's Style Hipster Circle Sunglasses - 3 Pairs,Visit the Skeleteen Store,900 ratings,0,0,4 answered questions,$12.99,3.9 out of 5
52,Amazon Essentials Women's Relaxed-Fit Short-Sleeve Scoopneck Swing Tee,0,"3,736 ratings",0,0,35 answered questions,$6.38,How confident are you in finding a size that will fit you well?
53,"16 Pairs Stainless Steel Punk Y2K Black Dangle Earrings for Men, Axe Skull Screw Cone etc Huggie Hoop Long Chain Piercing Hoop Earrings Set for Unisex Earrings for Women",Brand: wyyw,114 ratings,0,1,7 answered questions,$15.99,How confident are you in finding a size that will fit you well?
54,Pineapple Earrings Jewelry Gifts for Women Teens Girl-1 Pair by Holylove,Visit the Holylove Store,"7,254 ratings",0,1,17 answered questions,$12.99,How confident are you in finding a size that will fit you well?
55,"Princess Dress Up Shoes and Jewelry Boutique, Princess Toys with Heel Shoes, Princess Cape, Tiara, Bracelets,Purse, Pretend Play Princess Accessories for Little Girls Toddlers Aged 3 4 5 6 Years Old",Brand: HAMSILY,602 ratings,0,0,0,$13.99,4.3 out of 5
56,"Multilayer Leather Bracelet , Handmade Beaded Bracelet ,Blue Eye Bracelet Vintage Hollow Carved Bracelet (Multicolor)",Brand: SOSUO,"2,430 ratings",0,0,14 answered questions,$6.97,3.7 out of 5
57,WITHMOONS Meshed Baseball Cap Skull Rhinestones Trucker Hat KR1751,Visit the WITHMOONS Store,"2,535 ratings",0,0,0,$27.28,How confident are you in finding a size that will fit you well?
58,Lilo & Stitch Kids Adults 6 pack Socks Set,Brand: Disney,553 ratings,1,0,0,$14.99,How confident are you in finding a size that will fit you well?
59,MUSSHOE Loafers for Women Comfortable Pointed Toe Women's Loafers & Slip-ons Women's Flats Shoes,Visit the MUSSHOE Store,"5,195 ratings",0,0,18 answered questions,$36.99,How confident are you in finding a size that will fit you well?
60,SKDOIUL Women's Athletic Tennis Walking Shoes Fashion Sport Running Sneakers,Visit the SKDOIUL Store,"2,888 ratings",0,0,5 answered questions,$39.90,How confident are you in finding a size that will fit you well?
61,Damyuan Women's Walking Shoes Tennis Sneakers Casual Lace Up Lightweight Running Shoes,Visit the Damyuan Store,1 rating,0,1,25 answered questions,$36.99,How confident are you in finding a size that will fit you well?
62,MJartoria Gothic Jewelry-Goth PU Leather Choker Necklaces for Women-O-Ring Heart Punk Rock Adjustable Black Collar Choker Necklaces Birthday Gifts,Visit the MJartoria Store,258 ratings,0,0,0,$25.99,How confident are you in finding a size that will fit you well?
63,Holibanna 2 Pcs Women Jewelry Decorative Shoe Clips Rhinestones Decorations Charms Shoe Buckle Flowers Jewelry for DIY Craft Wedding Bridal Shoe (Silver),Brand: Holibanna,156 ratings,0,0,0,$12.99,How confident are you in finding a size that will fit you well?
64,Anna by Anuschka Leather Small Multi Compartment Zip-Around Organizer,Visit the Anna by Anuschka Store,26 ratings,0,0,13 answered questions,$129.00,How confident are you in finding a size that will fit you well?
65,Anna by Anuschka Women's Genuine Leather Shoulder Bag - Hand Painted Original Artwork Exterior,Visit the Anna by Anuschka Store,29 ratings,0,0,15 answered questions,$178.89,How confident are you in finding a size that will fit you well?
66,Anna by Anuschka Tall Zip-Around Cross Body,Visit the Anna by Anuschka Store,138 ratings,0,0,0,$158.00,How confident are you in finding a size that will fit you well?
